TOA5,LVDT 데이터_스무딩
2025-05-29 15:30,-0.240394627
2025-05-29 15:35,-0.231019059
2025-05-29 15:40,-0.221957377
2025-05-29 15:45,-0.213204987
2025-05-29 15:50,-0.2047573
2025-05-29 15:55,-0.196609722
2025-05-29 16:00,-0.188757661
2025-05-29 16:05,-0.181196527
2025-05-29 16:10,-0.173921727
2025-05-29 16:15,-0.166928669
2025-05-29 16:20,-0.160212761
2025-05-29 16:25,-0.153769412
2025-05-29 16:30,-0.14759403
2025-05-29 16:35,-0.141682022
2025-05-29 16:40,-0.136028797
2025-05-29 16:45,-0.130629763
2025-05-29 16:50,-0.125480329
2025-05-29 16:55,-0.120575902
2025-05-29 17:00,-0.11591189
2025-05-29 17:05,-0.111483702
2025-05-29 17:10,-0.107286746
2025-05-29 17:15,-0.103316429
2025-05-29 17:20,-0.099568161
2025-05-29 17:25,-0.096037349
2025-05-29 17:30,-0.092719401
2025-05-29 17:35,-0.089609726
2025-05-29 17:40,-0.086703731
2025-05-29 17:45,-0.083996826
2025-05-29 17:50,-0.081484417
2025-05-29 17:55,-0.079161913
2025-05-29 18:00,-0.077024722
2025-05-29 18:05,-0.075068253
2025-05-29 18:10,-0.073287913
2025-05-29 18:15,-0.071679111
2025-05-29 18:20,-0.070237254
2025-05-29 18:25,-0.068957751
2025-05-29 18:30,-0.067836011
2025-05-29 18:35,-0.066867441
2025-05-29 18:40,-0.066047449
2025-05-29 18:45,-0.065371443
2025-05-29 18:50,-0.064834832
2025-05-29 18:55,-0.064433024
2025-05-29 19:00,-0.064161427
2025-05-29 19:05,-0.064015448
2025-05-29 19:10,-0.063990497
2025-05-29 19:15,-0.064081981
2025-05-29 19:20,-0.064285309
2025-05-29 19:25,-0.064595888
2025-05-29 19:30,-0.065009127
2025-05-29 19:35,-0.065520434
2025-05-29 19:40,-0.066125217
2025-05-29 19:45,-0.062847203
2025-05-29 19:50,-0.057979936
2025-05-29 19:55,-0.058579186
2025-05-29 20:00,-0.063624957
2025-05-29 20:05,-0.065745811
2025-05-29 20:10,-0.067883332
2025-05-29 20:15,-0.069947739
2025-05-29 20:20,-0.071981081
2025-05-29 20:25,-0.065997987
2025-05-29 20:30,-0.067998034
2025-05-29 20:35,-0.072920032
2025-05-29 20:40,-0.073998331
2025-05-29 20:45,-0.073819927
2025-05-29 20:50,-0.075533768
2025-05-29 20:55,-0.07758064
2025-05-29 21:00,-0.080789417
2025-05-29 21:05,-0.088540561
2025-05-29 21:10,-0.090467607
2025-05-29 21:15,-0.093356998
2025-05-29 21:20,-0.094184874
2025-05-29 21:25,-0.097751389
2025-05-29 21:30,-0.098005447
2025-05-29 21:35,-0.105126901
2025-05-29 21:40,-0.101516556
2025-05-29 21:45,-0.107059828
2025-05-29 21:50,-0.10274228
2025-05-29 21:55,-0.105463747
2025-05-29 22:00,-0.105919997
2025-05-29 22:05,-0.109830093
2025-05-29 22:10,-0.110410817
2025-05-29 22:15,-0.113231818
2025-05-29 22:20,-0.112599626
2025-05-29 22:25,-0.110340933
2025-05-29 22:30,-0.112375664
2025-05-29 22:35,-0.108046141
2025-05-29 22:40,-0.109166881
2025-05-29 22:45,-0.111491971
